vm_id,report_time,pub_down_bw,pub_up_bw,pri_down_bw,pri_up_bw,timestamp,pub_down_Mbps,time_idx
vm2,2020-06-01 00:00:00,122512.91666666669,8421925.75,3258344.416666666,388.41666666666674,2020-06-01 00:00:00,0.12251291666666668,0
vm2,2020-06-01 01:00:00,122457.25,8434662.666666666,3264552.333333333,387.83333333333326,2020-06-01 01:00:00,0.12245725,3600
vm2,2020-06-01 02:00:00,121829.0,8703085.25,3312745.833333333,386.83333333333326,2020-06-01 02:00:00,0.121829,7200
vm2,2020-06-01 03:00:00,121764.91666666669,8531676.666666666,3281309.0,386.0,2020-06-01 03:00:00,0.12176491666666668,10800
vm2,2020-06-01 04:00:00,122810.16666666669,8454646.5,3267303.666666666,386.5,2020-06-01 04:00:00,0.12281016666666669,14400
vm2,2020-06-01 05:00:00,126798.0,8310385.416666668,3242579.833333333,388.58333333333326,2020-06-01 05:00:00,0.126798,18000
vm2,2020-06-01 06:00:00,126056.08333333331,8398428.25,3255437.083333333,388.25,2020-06-01 06:00:00,0.12605608333333332,21600
vm2,2020-06-01 07:00:00,126378.66666666669,8385278.833333332,3257800.25,391.16666666666674,2020-06-01 07:00:00,0.1263786666666667,25200
vm2,2020-06-01 08:00:00,127553.16666666669,8588852.75,3299033.333333333,390.91666666666674,2020-06-01 08:00:00,0.1275531666666667,28800
vm2,2020-06-01 09:00:00,124695.41666666669,8435266.666666666,3209830.416666666,391.5,2020-06-01 09:00:00,0.12469541666666668,32400
vm2,2020-06-01 10:00:00,127584.41666666669,8495907.166666666,3277254.666666666,389.66666666666674,2020-06-01 10:00:00,0.12758441666666667,36000
vm2,2020-06-01 11:00:00,127280.25,8341665.0,3246733.666666666,387.0,2020-06-01 11:00:00,0.12728025,39600
vm2,2020-06-01 12:00:00,125631.91666666669,8349157.166666668,3250585.75,390.0,2020-06-01 12:00:00,0.12563191666666668,43200
vm2,2020-06-01 13:00:00,124994.75,8219635.333333332,3223816.416666666,391.41666666666674,2020-06-01 13:00:00,0.12499475,46800
vm2,2020-06-01 14:00:00,125070.16666666669,8337049.083333332,3243201.083333333,393.16666666666674,2020-06-01 14:00:00,0.12507016666666668,50400
vm2,2020-06-01 15:00:00,125125.0,8475798.583333334,3271304.833333333,392.25,2020-06-01 15:00:00,0.125125,54000
vm2,2020-06-01 16:00:00,125045.41666666669,8564629.083333334,3285476.583333333,392.0,2020-06-01 16:00:00,0.1250454166666667,57600
vm2,2020-06-01 17:00:00,124852.5,8470210.083333334,3274592.416666666,392.33333333333326,2020-06-01 17:00:00,0.1248525,61200
vm2,2020-06-01 18:00:00,124426.75,8513138.75,3283650.583333333,392.83333333333326,2020-06-01 18:00:00,0.12442675,64800
vm2,2020-06-01 19:00:00,125072.58333333331,8708291.25,3323027.0,391.66666666666674,2020-06-01 19:00:00,0.12507258333333332,68400
vm2,2020-06-01 20:00:00,123035.83333333331,8174258.916666668,3190901.916666666,393.16666666666674,2020-06-01 20:00:00,0.12303583333333332,72000
vm2,2020-06-01 21:00:00,123725.41666666669,8285735.416666668,3233580.166666666,391.08333333333326,2020-06-01 21:00:00,0.12372541666666668,75600
vm2,2020-06-01 22:00:00,123745.58333333331,8360780.0,3249260.833333333,386.58333333333326,2020-06-01 22:00:00,0.12374558333333331,79200
vm2,2020-06-01 23:00:00,124275.5,8119460.166666668,3209771.75,391.75,2020-06-01 23:00:00,0.1242755,82800
vm3,2020-06-01 00:00:00,48541577.16666666,51577859.58333334,0.0,0.0833333333333333,2020-06-01 00:00:00,48.541577166666656,0
vm3,2020-06-01 01:00:00,23982483.0,24440014.16666667,0.0,0.0833333333333333,2020-06-01 01:00:00,23.982483,3600
vm3,2020-06-01 02:00:00,16420216.083333336,17933497.083333332,0.0,0.0833333333333333,2020-06-01 02:00:00,16.420216083333337,7200
vm3,2020-06-01 03:00:00,12052239.5,12716269.916666664,0.0,0.0833333333333333,2020-06-01 03:00:00,12.0522395,10800
vm3,2020-06-01 04:00:00,6483315.0,6643506.0,0.0,0.0833333333333333,2020-06-01 04:00:00,6.483315,14400
vm3,2020-06-01 05:00:00,20223532.666666668,21010969.33333333,0.0,0.0833333333333333,2020-06-01 05:00:00,20.223532666666667,18000
vm3,2020-06-01 06:00:00,35615526.75,36423010.333333336,0.0,0.0833333333333333,2020-06-01 06:00:00,35.61552675,21600
vm3,2020-06-01 07:00:00,47192737.91666666,48368675.58333334,0.0,0.0,2020-06-01 07:00:00,47.19273791666666,25200
vm9,2020-06-01 00:00:00,264579.33333333326,33100.416666666664,0.0,0.0,2020-06-01 00:00:00,0.2645793333333333,0
vm9,2020-06-01 01:00:00,304553.75,36498.41666666666,0.0,0.0,2020-06-01 01:00:00,0.30455375,3600
vm9,2020-06-01 02:00:00,114523.66666666669,16353.0,0.0,0.0,2020-06-01 02:00:00,0.11452366666666669,7200
vm9,2020-06-01 03:00:00,64456.0,15794.166666666664,0.0,0.0,2020-06-01 03:00:00,0.064456,10800
vm9,2020-06-01 04:00:00,165037.75,40149.083333333336,0.0,0.0,2020-06-01 04:00:00,0.16503775,14400
vm9,2020-06-01 05:00:00,219424.08333333328,20901.58333333333,0.0,0.0,2020-06-01 05:00:00,0.2194240833333333,18000
vm9,2020-06-01 06:00:00,156059.91666666663,41033.0,0.0,0.0,2020-06-01 06:00:00,0.15605991666666663,21600
vm9,2020-06-01 07:00:00,147577.0,28972.08333333333,0.0,0.0,2020-06-01 07:00:00,0.147577,25200
vm9,2020-06-01 08:00:00,314215.83333333326,41072.583333333336,0.0,0.0,2020-06-01 08:00:00,0.31421583333333325,28800
vm9,2020-06-01 09:00:00,406169.75,72875.25,0.0,0.0,2020-06-01 09:00:00,0.40616975,32400
vm9,2020-06-01 10:00:00,446971.58333333326,72326.66666666669,0.0,0.0,2020-06-01 10:00:00,0.44697158333333326,36000
vm9,2020-06-01 11:00:00,445895.41666666674,60668.66666666666,0.0,0.0,2020-06-01 11:00:00,0.44589541666666677,39600
vm9,2020-06-01 12:00:00,532961.0833333335,55597.41666666666,0.0,0.0,2020-06-01 12:00:00,0.5329610833333335,43200
vm9,2020-06-01 13:00:00,500966.41666666674,56330.33333333334,0.0,0.0,2020-06-01 13:00:00,0.5009664166666667,46800
vm9,2020-06-01 14:00:00,511665.5,55248.75,0.0,0.0,2020-06-01 14:00:00,0.5116655,50400
vm9,2020-06-01 15:00:00,512794.41666666674,65269.33333333334,0.0,0.0,2020-06-01 15:00:00,0.5127944166666667,54000
vm9,2020-06-01 16:00:00,654323.4166666665,85036.91666666669,0.0,0.0,2020-06-01 16:00:00,0.6543234166666665,57600
vm9,2020-06-01 17:00:00,410177.66666666674,58057.33333333334,0.0,0.0,2020-06-01 17:00:00,0.4101776666666667,61200
vm9,2020-06-01 18:00:00,320409.33333333326,51949.75,0.0,0.0,2020-06-01 18:00:00,0.32040933333333327,64800
vm9,2020-06-01 19:00:00,366505.75,42910.91666666666,0.0,0.0,2020-06-01 19:00:00,0.36650575,68400
vm9,2020-06-01 20:00:00,194035.83333333328,45416.5,0.0,0.0,2020-06-01 20:00:00,0.1940358333333333,72000
